_id,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
65ef3f4a675dde801085615f,864168,Joy Ride,6.623,167,Released,,11000000,95,FALSE,,0,,,en,,,65.62,,,Drama,,,
65ef40aa675dde80108928e6,1050614,"Enjoy The Divine Body Of Ria Yamate, A Bikini Idol Who Has The Number One Body In Kyushu. The Land Of Sex Services",10,1,Released,,10000000,150,TRUE,,1000,,,ja,,,0.6,,,Comedy,,,
65ef3f82675dde801085ed38,85509,Joy of Sex,4.525,20,Released,,4463841,93,FALSE,,0,,,en,,,3.314,,,Romance,,,
65ef3f5f675dde80108595a6,27323,Joysticks,4.722,54,Released,,3952448,88,FALSE,,300000,,,en,,,6.349,,,"Comedy, Romance",,,
65ef3f7c675dde801085de72,77680,El robobo de la jojoya,4.2,23,Released,,3370574,82,FALSE,,0,,,es,,,4.485,,,Comedy,,,
65ef4077675dde8010888f42,267296,Andy Mckee: Joyland,5.2,2,Released,,50000,0,FALSE,,20000,,,pt,,,0.6,,,Comedy,,,
65ef40ef675dde801089fa33,313946,A Joy Ride,5,1,Released,,0,0,FALSE,,0,,,en,,,1.124,,,"Music, Documentary",,,
65ef43f4675dde801093ca9c,589283,A 'Soir' Full of Joy,0,0,Released,,0,112,FALSE,,0,,,fr,,,0.6,,,"Comedy, Animation",,,
65ef3f88675dde801085ff48,516261,A Joy Story: Joy and Heron,7.4,18,Released,,0,6,FALSE,,0,,,en,,,1.541,,,"Comedy, War",,,
65ef4215675dde80108e07ae,1078970,A Joy Story: Joy and Lucky Carp,0,0,Released,,0,4,FALSE,,0,,,xx,,,0.6,,,"Animation, Comedy",,,
65ef4258675dde80108ee8c3,1105055,18 Today 10: Joy Sticks,0,0,Released,,0,81,TRUE,,0,,,en,,,0,,,Animation,,,
65ef41ee675dde80108d778f,1216855,A Black Joy Prequel,0,0,Released,,0,12,FALSE,,0,,,nl,,,0,,,,,,
65ef415a675dde80108b621c,969841,A Joy To Bang,0,0,Released,,0,0,TRUE,,0,,,en,,,0.654,,,,,,
65ef439e675dde801092b87e,845066,A Joyful Mind - Finding true happiness through the practice of meditation,0,0,Released,,0,59,FALSE,,0,,,en,,,0.6,,,,,,
65ef417f675dde80108be438,985366,A Day in The Life of George,0,0,Released,,1000000000,4,FALSE,,15,,,en,,,0.6,,,,,,
65ef3f30675dde8010852f20,602,Independence Day,6.868,8884,Released,,817400891,145,FALSE,,75000000,,,en,,,33.606,,,"Action, Adventure, Science Fiction",,,
65ef3f30675dde8010852e40,127585,X-Men: Days of Future Past,7.5,14433,Released,,747862775,132,FALSE,,250000000,,,en,,,60.194,,,"Action, Adventure, Science Fiction",,,
65ef3f30675dde8010852f8d,435,The Day After Tomorrow,6.509,7436,Released,,552639571,124,FALSE,,125000000,,,en,,,30.132,,,"Action, Adventure, Science Fiction, Thriller",,,
65ef3f30675dde8010852e87,280,Terminator 2: Judgment Day,8.104,11744,Released,,520000000,137,FALSE,,102000000,,,en,,,69.45,,,"Action, Thriller, Science Fiction",,,
